I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
1,126697;0,021116118;0,927601059;0,712941176;-0,252941177;1,081764706;0,043528879;0,003173852;0,011661302;-249,3529412;4,764705882;265,2352941;-5070;30;5239;1
1,039215059;0,015082947;0,953242765;0,229411765;0,276470588;0,485294118;0,013671867;-0,005572165;0,01216395;-260,4705882;0;263,6470588;-5320;-9;5391;1
0,911010765;0,004524888;0,947209882;1,170588235;0,222941176;0,664117647;0,011704391;0,003719562;0,005744499;-268,4117647;0;268,4117647;-4829;6;4786;1
0,692308;1,156862118;0,550528;1,165294118;0,698235294;-3,421764706;0,001321232;-0,010311367;-0,001522296;141,3529412;-306,5294118;162;2670;-5662;2875;1
0,529411824;1,024133471;0,453996824;0,808235294;0,09;-1,449411765;0,006218409;-0,010986326;-0,006247103;155,6470588;-314,4705882;169,9411765;2841;-5824;2967;1
0,601810176;1,069383;0,565611059;0,303529412;0,944117647;-2,367058824;0,000373405;-0,010383158;-0,004696115;142,9411765;-314,4705882;149,2941176;2827;-5910;2910;1
0,377073829;0,929109647;1,030166118;-0,355294118;-0,042352941;-4,018235294;0,033662665;-0,002096755;0,029383037;-108;-319,2352941;446,2941176;-1982;-5735;8079;1
0,276017882;0,728506941;0,831071059;0,968823529;0,722941176;-3,215882359;0,001795148;-0,013312888;-0,012379376;-111,1764706;-333,5294118;462,1764706;-2067;-5892;8250;1
0,342382824;0,812971529;0,915535941;0,662352941;0,637647059;-4,251176471;0,007396036;-0,011919809;0,010268299;-108;-328,7647059;454,2352941;-2068;-6160;8464;1
0,372780769;0,467455538;0,339250154;1,059230769;-0,340769231;16,91;0,013559213;-0,015249412;0,009014434;155,7692308;162;164,0769231;3094;3004;3136;1
0,362918923;0,475345077;0,329388231;0,012307692;-1,728461538;17,07461538;-0,004544785;-0,003079926;0,016150842;166,1538462;155,7692308;162;2833;2703;2881;1
0,422090385;0,333333077;0,357001615;9,827692308;1,625384615;15,7;0,00393442;-0,008713936;0,045710637;164,0769231;174,4615385;172,3846154;2814;2947;2839;1
0,430768933;0,396581;0,3555552;0,294666667;-1,778666667;36,70333333;-0,025260408;0,005598905;0,020800783;342;343,8;356,4;5590;5618;5639;1
0,439316;0,432478467;0,316239207;-0,233333333;-0,884;33,37666667;0,003776045;0,0007487;0,009147133;343,8;351;365,4;5846;5943;5995;1
0,3863246;0,382905733;0,384615067;-0,148666667;-1,676;38,14466667;-0,009456378;0,00403646;6,00E-09;342;358,2;351;5890;5902;5881;1
0,42948675;0,509615;0,410256263;0,1325;-3,7125;76,580625;0,011520388;-0,048736549;0,041031013;742,5;756;762,75;12971;12936;13062;1
0,403846063;0,501602625;0,267627938;-0,5625;-5,16875;74,3475;-0,047424247;-0,03778071;-0,07167065;750,9375;747,5625;761,0625;14067;13953;14157;1
0,424679313;0,514423063;0,38461525;-0,79875;-4,934375;74,785;-0,002456606;0,0106507;0,015777529;756;756;754,3125;13164;13084;13251;1
0,4991452;0,0290598;0,352136467;-0,066666666;-0,334;1,706666667;0,026529953;-0,005566432;0,012011711;-289,8;0;302,4;-4683;11;4811;2
0,482051133;0,006837607;0,309401407;0,423333333;0,188666667;0,481333327;0,007763685;0,008203152;0,004915369;-293,4;1,8;306;-4915;6;5071;2
0,516239467;0,0153846;0,369230467;0,66;0,440666667;0,394;0,002473965;-0,005338531;0,000813793;-288;0;291,6;-4732;-1;4860;2
0,253204875;0,334935813;0,152243463;1,1375;1,070625;0,054375;-0,02204895;-0,048934929;-0,0350342;168,75;-357,75;170,4375;2976;-6159;3002;2
