I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
1,143286353;0,016591247;1,073906765;0,343529412;-0,032941176;0,185294118;0,018899342;-0,00324565;0,004322725;-254,1176471;0;257,2941176;-5081;-2;5062;1
0,499245824;1,135747;0,481146294;0,654117647;0,263529412;-1,826470588;0,009004485;-0,015883504;-0,007668892;162;-308,1176471;154,0588235;2952;-5933;2991;1
0,351432588;0,874811353;0,942684765;0,845882353;0,114117647;-3,032941176;0,016070229;-0,034308953;-0,008214624;-111,1764706;-327,1764706;462,1764706;-2065;-6018;8444;1
0,333333077;0,459565923;0,258382385;0,533076923;-1,130769231;16,23307692;-0,008263218;0,007342994;0,02129657;157,8461538;162;170,3076923;3503;3338;3533;1
0,347008333;0,353845867;0,336751867;0,093333333;-1,026666667;34,42266667;-0,003776052;-4,88E-05;0,003906237;360;352,8;349,2;5917;5931;5939;1
0,350961313;0,451922938;0,437499813;-0,68875;-5,43625;76,135;0,009109506;0,022643988;0,087982263;759,375;762,75;767,8125;13176;13081;13128;1
0,505982933;0,003418807;0,288888607;0,724;0,322;0,722666667;-0,001660166;0,006966137;0,00236004;-291,6;1,8;300,6;-4703;6;4877;2
0,224358756;0,278845938;0,174679325;0,560625;0,3825;0,0425;-0,009124764;-0,019577056;0,008163484;168,75;-356,0625;180,5625;3007;-6222;3059;2
0,225640873;0,2837604;0,2803416;0,378666667;0,157333333;1,321333333;0,008349617;0,009814453;0,001464847;-113,4;-354,6;484,2;-2035;-6223;8546;2
0,282051;0,331623733;0,09914524;0,541333333;-0,878666667;20,52666667;0,002083339;-0,017399095;-0,005501303;167,4;165,6;187,2;2732;2726;2953;2
0,22735028;0,252991207;0,176068227;1,382;-1,826666667;43,502;-0,006136087;0,003645829;-0,01809896;358,2;367,2;374,4;5821;5845;5924;2
0,297435813;0,287179407;0,314529813;3,176666667;-4,953333333;88,29466667;-0,010725913;-0,046988955;-0,053271447;752,4;748,8;765;12826;12878;12864;2
0,603550538;0,019723854;0,522682615;0,391538462;0,371538462;0,412307692;0,016883275;-0,021672151;0,002572866;-267,9230769;0;274,1538462;-4715;33;4792;3
0,415954333;0,635327778;0,192307522;7,443888889;1,007222222;1,171666667;-0,016866071;-0,017022014;0,028537339;157,5;-318;174;4158;-8754;4697;3
0,208546813;0,4837606;0,565812133;3,213333333;2,211333333;1,044666667;-0,003808605;-0,023356069;-0,015055345;-111,6;-316,8;468;-1948;-5742;7982;3
0,296474063;0,323717688;0,208333125;-0,466875;0,4925;16,476875;0,002944953;0,014068603;-0,007217402;162;158,625;162;2786;2752;2852;3
0,382783643;0,375457571;0,166666529;0,293571429;-0,314285714;41,06071429;-0,029820034;-0,024815157;0,005789612;331,7142857;333,6428571;366,4285714;5484;5511;5787;3
0,168269075;0,31089725;0,407051263;0,71875;-5,865625;82,46625;0,050659108;0,089614821;-0,001724319;745,875;735,75;725,625;13149;13016;12868;3
1,27451;0;1,079939176;0,989411765;0,273529411;0,624117647;-0,003188189;-0,002398327;-0,008444395;-203,2941176;0;235,0588235;-3786;4;4066;4
1,155555333;1,393162;1,162392867;0,820666667;-0,074666667;4,392;0,002376299;-0,017366532;-0,018717445;82,8;-239,4;93,6;1830;-5421;1938;4
1,165912882;1,523378235;1,019607529;0,836470588;0,258823529;-0,772352942;0,005126966;0,031048961;0,005730134;-34,94117647;-239,8235294;414,5294118;-638;-4733;7931;4
0,9391025;1,192307625;1,011217938;-0,39875;0,640625;9,544375;0,003158573;-0,020294193;-0,017608654;104,625;86,0625;101,25;1823;1533;1756;4
0,726496;1,049572667;0,8410258;0,288666667;-1,618666667;30,27466667;-0,005924484;0,002180991;-0,007373053;304,2;286,2;313,2;4964;4617;4890;4
0,736264;1,122711;0,829670286;-0,461428571;-3,455;69,09428571;-0,014003216;0,022059879;-0,011265276;696,2142857;663,4285714;707,7857143;10550;10095;10502;4
0,794871667;0,017094007;0,726496;0,64;0,054666667;0,52;0,003499345;0,009716795;0,000813794;-250,2;0;261;-4057;6;4163;5
0,4461538;0,769231;0,463247867;0,678666667;0,062666673;-0,301333333;0,005631519;0,020947265;0,006689455;144;-307,8;154,8;2382;-5078;2424;5
0,301281756;0,639423313;0,836538625;8,37;1,899375;0,455625;0,024772648;-0,001998904;0,032485973;-111,375;-318,9375;433,6875;-1895;-5607;7665;5
0,3641024;0,264957;0,367521133;0,76;-0,611333333;16,94466667;0,003173839;-0,003076173;0,001057943;162;163,8;162;2423;2552;2462;5
0,40854694;0,3316236;0,314529733;0,346666667;-1,892666667;36,87733333;-0,004996741;-0,010156265;-0,015380852;342;342;356,4;5924;6028;6043;5
0,381196467;0,32307674;0,345299013;-0,431333333;-4,506;82,482;0,035481794;-0,024527932;-0,008675147;750,6;732,6;756;12936;12989;12954;5
0,0573152;0;0,063348365;0,748823529;0,141176471;0,471176471;0,020392936;-0,007740694;0,002685543;3,176470588;0;-3,176470588;90;0;-80;1
0,262443182;0,717949;0,956259824;0,94;0,772941176;-3,508823529;0,008530562;-0,012063427;-0,010081571;-114,3529412;-331,9411765;457,4117647;-2221;-6295;8693;1
0,424062846;0,499013769;0,422090538;0,921538462;-1,602307692;17,16538462;-0,012263378;-0,016263517;0,000187796;155,7692308;157,8461538;157,8461538;2208;2188;2230;1
0,282051;0,494017067;0,364102333;0,146;-1,244666667;35,496;0,009309907;-0,002978498;0,002246092;354,6;345,6;354,6;5788;5636;5721;1
0,39903825;0,374999875;0,346153875;-0,286875;-5,191875;74,10125;-0,00927725;-0,132781936;-0,000961256;754,3125;757,6875;759,375;13094;13171;13201;1
0,519658067;0,011965813;0,345298867;0,39333334;0,348;0,581333333;0,011832688;0,005712889;0,007389324;-284,4;1,8;300,6;-4866;2;5073;2
0,208333131;0,298076756;0,237179256;-0,236250001;0,4525;-0,08;-0,008483872;-0,018707271;0,003219595;175,5;-352,6875;180,5625;3019;-6236;3039;2
0,1948716;0,239316013;0,2632476;0,266666667;0,285333333;1,039333327;0,004720045;-0,013395181;-0,002620446;-111,6;-358,2;493,2;-1940;-5849;8011;2
0,186324613;0,230769007;0,280341607;0,564;-0,886;18,67;0,002701826;0,009342461;0,001383473;174,6;167,4;167,4;2970;2928;2859;2
0,196581007;0,188034093;0,252991273;1,828;-2,756;41,71533333;0,017203817;0,02906898;-0,020393864;369;363,6;367,2;6267;6335;6270;2
0,31452974;0,28546988;0,229059673;1,131333334;-5,161333333;85,45466667;-0,062402292;-0,013037207;-0,040185553;748,8;772,2;783;12335;12397;12453;2
0,899408308;0,147928923;0,810650846;0,706923077;-0,973846145;3,234615385;0,000225368;-0,028395423;-0,00413161;-247,1538462;16,61538462;255,4615385;-5807;334;6014;3
0,259259;0,611111389;0,3091165;0,426666667;-0,282222222;0,491111111;-0,001749677;-0,003580719;-0,00301107;148,5;-300;156;3108;-6179;3131;3
0,2529912;0,399999933;0,435897267;1,274;1,226666667;1,936;-0,024121095;0,037516288;0,002604177;-72;-250,2;352,8;-1434;-4669;6573;3
0,340659;0,371794786;0,179487021;-0,954285714;-1,731428571;38,94285714;-0,01623534;-0,022443525;0,007376546;343,2857143;333,6428571;364,5;6380;6274;6580;3
0,304487;0,387820381;0,330128006;-1,239375;-5,27875;88,1325;-0,004913336;0,027069051;-0,050811779;769,5;742,5;752,625;14384;14083;14168;3
1,128205118;0,012066353;1,063348706;0,785882353;0,144705882;0,596470588;-0,002484495;0,020464721;-0,005715761;-227,1176471;0;230,2941176;-4178;3;4260;4
1,1316236;1,475214;1,0905992;0,747333333;-0,043333333;5,110666667;-3,26E-05;-0,01489258;-0,011865225;88,2;-257,4;91,8;1390;-3900;1471;4
1,226244059;1,297134706;1,156862941;0,614117647;0,154117641;-0,384705888;0,011747477;0,023968859;0,007927384;-30,17647059;-247,7647059;409,7647059;-514;-4691;7556;4
0,940705313;1,11859;0,94551275;-0,3825;0,591875;8,94;0,001495364;-0,027374271;-0,013046259;101,25;91,125;106,3125;1965;1751;1890;4
0,871794667;1,145299467;0,870085267;0,186;-1,838;28,574;0,007226565;-0,012304701;-0,00559895;291,6;279;295,2;4780;4519;4817;4
0,8992675;1,124541357;0,858974143;-0,752142857;-3,842142857;66,00428571;0,00144741;0,009015736;-0,042515357;688,5;678,8571429;703,9285714;11179;10931;11284;4
0,7538464;0,013675213;0,794872;1,118666667;0,344666667;0,561333327;-0,003141276;-0,000667323;-0,005468745;-252;0;246,6;-4267;-4;4256;5
0,4153844;0,7145302;0,4290596;0,595333333;0,272666667;-0,900666667;-0,003190098;0,001041666;-0,004899098;154,8;-318,6;149,4;2620;-5490;2637;5
0,27403825;0,669872063;0,790064313;0,70125;0,2575;0,7975;0,005584716;0,003906251;-0,007308969;-106,3125;-315,5625;448,875;-1935;-5787;8017;5
0,218803207;0,357264667;0,345298867;0,478;-0,776;19,94133333;-0,004703767;0,010921223;-0,002913412;160,2;154,8;160,2;2685;2556;2559;5
0,3863248;0,270085207;0,314529667;0,11;-1,835333333;37,206;-0,004280605;0,008268229;-0,013037111;345,6;343,8;347,4;5561;5672;5640;5
